PhraseId	SentenceId	Phrase	Sentiment
109702	5813	goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography	0
109277	5786	watching your favorite pet get buried alive	0
78432	4034	If I could have looked into my future and saw how bad this movie was , I would go back and choose to skip it .	0
115953	6181	a terrible movie , just a stultifyingly obvious one	0
48041	2343	would be a shame if this was your introduction to one of the greatest plays of the last 100 years	0
76332	3921	Viewing this underdramatized but overstated film	0
148591	8084	render it anything but laughable	0
86174	4461	This 90-minute dud	0
26255	1203	is so pedestrian that the most positive comment we can make is that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl .	0
43133	2084	its shortness disappoints	0
12077	518	'm not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen	0
88487	4598	overwrought and crudely literal	0
91770	4776	does n't add up to a whole lot	0
80866	4168	he 's already done way too often	0
142934	7759	The whole mess	0
55371	2763	is a truly , truly bad movie	0
65380	3310	Extremely bad	0
28044	1288	feels like a prison stretch	0
65605	3325	Humorless , self-conscious art drivel	0
58684	2958	wearisome	0
45876	2231	unlikable , uninteresting , unfunny ,	0
146246	7952	A chilly , remote , emotionally distant piece ... so dull that its tagline should be : `	0
38716	1845	Skip this turd	0
52255	2581	is so bleak that it 's hardly watchable	0
80167	4130	incoherent jumble	0
101756	5357	absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer	0
138555	7504	anything approaching even a vague reason to sit through it all	0
73765	3772	the worst of the entire franchise	0
45871	2231	unlikable , uninteresting , unfunny , and completely , utterly inept .	0
7347	300	ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .	0
120815	6465	This is n't a movie ; it 's a symptom	0
63288	3201	A movie version of a paint-by-numbers picture	0
22018	988	the film would be a total washout .	0
105773	5584	... plays like a badly edited , 91-minute trailer -LRB- and -RRB- the director ca n't seem to get a coherent rhythm going .	0
95658	4997	pushes its agenda too forcefully	0
133496	7203	For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .	0
150163	8179	unsatisfying ending	0
148533	8082	Weighted down with slow , uninvolving storytelling and flat acting .	0
41468	1994	has none of the charm and little of the intrigue from the TV series	0
83209	4297	's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing , let alone funny	0
127046	6832	, unimaginative and derivative	0
52157	2575	so not-at-all-good	0
81795	4221	, having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .	0
83714	4327	to justify the embarrassment of bringing a barf bag to the moviehouse	0
40069	1919	this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian .	0
75771	3884	you 'll need a stronger stomach than us .	0
83340	4303	this movie 's lack of ideas	0
15104	650	spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?	0
70243	3576	unrewarding	0
144098	7821	The most repugnant adaptation	0
97976	5132	boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape	0
86688	4491	No amount of burning , blasting , stabbing , and shooting can hide a weak script .	0
103205	5443	by the man who wrote it but this Cliff Notes edition is a cheat	0
108525	5744	A devastating indictment of unbridled greed and materalism .	0
34184	1607	The movie is concocted and carried out by folks worthy of scorn , and the nicest thing I can say is that I ca n't remember a single name responsible for it .	0
57817	2913	greatest mistake	0
138658	7513	The story 's pathetic and the gags are puerile . .	0
113389	6024	at its utterly misplaced earnestness	0
117389	6263	how very bad a motion picture can truly be	0
130465	7030	are tantamount to insulting the intelligence of anyone who has n't been living under a rock	0
24214	1101	Is there a group of more self-absorbed women than the mother and daughters featured in this film ?	0
41931	2017	realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already	0
144892	7868	The most ill-conceived animated comedy	0
155768	8526	The Santa Clause 2 is a barely adequate babysitter for older kids ,	0
136844	7401	like bad cinema	0
9765	406	assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .	0
65748	3333	a loathsome movie	0
140888	7642	A 94-minute travesty of unparalleled proportions , writer-director Parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .	0
40071	1919	is a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian	0
67947	3449	be even worse than its title	0
105884	5588	ordinary and obvious	0
97894	5126	trying simply to out-shock , out-outrage or out-depress its potential audience	0
149915	8164	empty , ugly exercise	0
155782	8527	there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .	0
77770	3999	a cold-hearted curmudgeon for not being able to enjoy a mindless action movie	0
2539	97	fails on its own , but makes you second-guess your affection for the original	0
46460	2259	Godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... In Praise of Love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .	0
28777	1334	run-of-the-mill revulsion	0
15459	662	other than fling gags at it	0
134145	7239	is more depressing than entertaining	0
119332	6379	drab wannabe	0
49374	2416	If you really want to understand what this story is really all about , you 're far better served by the source material .	0
154638	8455	as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is .	0
71219	3635	The most memorable moment was when Green threw medical equipment at a window ; not because it was particularly funny , but because I had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration .	0
46845	2281	sitting through Dahmer 's two hours amounts to little more than punishment .	0
76436	3926	cringe	0
119677	6400	old crap	0
110138	5832	self-amused trash	0
80362	4140	ludicrous attempt	0
106480	5623	's a real shame that so much of the movie -- again , as in The Animal -- is a slapdash mess .	0
142352	7722	an aimless hodgepodge	0
137010	7409	, nothing good can happen	0
4867	187	corny dialogue and preposterous moments	0
56265	2821	When you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .	0
35312	1660	a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny	0
83716	4327	the embarrassment of bringing a barf bag to the moviehouse	0
144935	7871	An unremittingly ugly movie to look at , listen to , and think about	0
6985	280	to the overcooked , ham-fisted direction , which has all the actors reaching for the back row	0
62224	3145	, dumb action movie	0
23425	1063	Crush could be the worst film a man has made about women since Valley of the Dolls .	0
154553	8449	dreadful romance .	0
95440	4985	, ponderous and charmless	0
132957	7171	singing and finger snapping it might have held my attention , but as it stands I kept looking for the last exit from Brooklyn .	0
76260	3914	It 's loud and boring ; watching it is like being trapped at a bad rock concert	0
23930	1087	ill-constructed and fatally overlong	0
3173	119	cheap	0
104066	5488	A ` Girls Gone Wild ' video for the boho art-house crowd , The Burning Sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .	0
16634	718	Pretend like your SAT scores are below 120 and	0
107516	5681	It 's uninteresting .	0
114128	6066	grows as dull as its characters , about whose fate it is hard to care	0
147998	8056	is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story .	0
58977	2975	the long , dishonorable history of quickie teen-pop exploitation	0
146374	7961	one of those comedies that just seem like a bad idea from frame one	0
27303	1255	LaBute ca n't avoid a fatal mistake in the modern era	0
5722	227	to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002	0
70395	3588	you have nothing better to do with 94 minutes	0
100250	5260	fails to fulfill its own ambitious goals	0
46486	2259	a ponderous and pretentious endeavor that 's unfocused and tediously exasperating	0
138399	7493	leaves an awful sour taste	0
53977	2680	moronic	0
65640	3326	is ultimately scuttled by a plot that 's just too boring and obvious	0
83525	4317	depraved , incoherent , instantly disposable	0
95125	4961	Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism	0
151846	8286	An exceptionally dreary and overwrought bit of work	0
152820	8340	relies too much on a scorchingly plotted dramatic scenario for its own good	0
153556	8385	laborious pacing	0
89156	4634	Memorable for a peculiar malaise that renders its tension flaccid and , by extension , its surprises limp and its resolutions ritual	0
55376	2763	truly bad	0
87592	4548	Another useless recycling of a brutal mid - '70s American sports movie	0
6798	273	become apparent that the franchise 's best years are long past	0
94826	4946	, the film gets added disdain for the fact that it is nearly impossible to look at or understand .	0
130310	7020	she does n't bother to make her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly	0
6318	252	is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers	0
155444	8508	will be lulled into a coma .	0
105753	5583	seriously dumb	0
86200	4463	miscast leads , banal dialogue and an absurdly overblown climax	0
70216	3575	folds under its own thinness	0
108220	5726	My precious new Star Wars movie is a lumbering , wheezy drag ...	0
41328	1984	Laughably , irredeemably awful .	0
151566	8267	about a couple of saps stuck in an inarticulate screenplay	0
27189	1251	've already seen this exact same movie a hundred times	0
98450	5160	no disguising this as one of the worst films of the summer	0
35908	1694	to attempt to pass this stinker off as a scary movie	0
51310	2526	disappoint anyone who values the original comic books	0
102694	5410	dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .	0
88117	4577	The most surprising thing about this film is that they are actually releasing it into theaters .	0
98059	5137	also comes with the laziness and arrogance of a thing that already knows it 's won .	0
91391	4754	The story suffers a severe case of oversimplification , superficiality and silliness .	0
107546	5683	into a cheap thriller , a dumb comedy or a sappy	0
143022	7763	wane to an inconsistent and ultimately unsatisfying drizzle	0
136210	7364	This picture is murder by numbers , and as easy to be bored by as your ABC 's , despite a few whopping shootouts .	0
10181	427	both overplayed and exaggerated	0
59652	3010	It 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but	0
139073	7539	movies with giant plot holes	0
137519	7440	Makes 98 minutes feel like three hours .	0
91648	4768	, sense and sensibility have been overrun by what can only be characterized as robotic sentiment .	0
6981	280	In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .	0
5433	217	A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place	0
114654	6100	look so bad in a major movie	0
31014	1445	inane and awful	0
98851	5185	The director , with his fake backdrops and stately pacing , never settles on a consistent tone .	0
154692	8460	pathetic junk	0
39407	1882	listless , witless , and devoid of anything	0
31010	1445	wretchedly unfunny wannabe	0
149527	8139	I 'm not sure these words have ever been together in the same sentence : This erotic cannibal movie is boring	0
52396	2591	comes across as stick figures reading lines from a TelePrompTer	0
12324	527	unbelievably stupid	0
112194	5956	your disgust and your indifference	0
102448	5392	Forget about one Oscar nomination for Julianne Moore this year	0
45879	2231	unlikable , uninteresting	0
96742	5052	does n't even qualify as a spoof of such	0
25025	1141	lots of boring talking heads , etc.	0
33216	1556	proves simply too discouraging to let slide	0
106018	5597	an excuse to get to the closing bout ... by which time it 's impossible to care who wins	0
36602	1732	's just merely very bad .	0
55743	2788	suffers because it does n't have enough vices to merit its 103-minute length	0
123368	6624	sure which half of Dragonfly is worse : The part where nothing 's happening , or the part where something 's happening	0
128678	6921	's not so much a movie as a joint promotion for the National Basketball Association and teenaged rap and adolescent poster-boy Lil ' Bow Wow	0
43012	2076	a shameless ` 70s blaxploitation shuck-and-jive sitcom	0
129204	6948	dull , simple-minded and stereotypical	0
19295	847	worst thing	0
123473	6629	The rest of the film ... is dudsville .	0
40892	1960	A beyond-lame satire ,	0
68528	3478	does a film so graceless and devoid of merit as this one come along .	0
108983	5769	has already reached its expiration date	0
35524	1673	seems so similar to the 1953 Disney classic that it makes one long for a geriatric Peter .	0
136839	7401	that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema	0
77757	3998	long , slow and dreary	0
133641	7209	-LRB- L -RRB- ame and unnecessary .	0
74946	3842	its delivery is a complete mess	0
14069	605	worst kind	0
53632	2663	A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women .	0
81608	4209	a bad mannered , ugly and destructive little \*\*\*\*	0
36369	1719	a complete waste	0
52151	2575	's just that it 's so not-at-all-good .	0
150150	8178	no character , loveable or otherwise	0
121560	6513	itself is ultimately quite unengaging .	0
37320	1771	loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into	0
59459	2999	is of Brian De Palma 's addiction to the junk-calorie suspense tropes that have all but ruined his career	0
48875	2387	Swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress Andie MacDowell .	0
146670	7979	The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .	0
83708	4326	corny conventions	0
130232	7013	plays like an extended dialogue exercise in Retard 101	0
99547	5220	IS as bad as you think , and worse than you can imagine .	0
150075	8174	It 's a road-trip drama with too many wrong turns .	0
81613	4209	ugly and destructive	0
63909	3233	lackluster at best	0
154276	8431	`` ... something appears to have been lost in the translation this time .	0
151257	8246	Exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable	0
33492	1571	Blandly Go Where We Went 8 Movies Ago	0
106079	5601	Two hours of junk .	0
48319	2358	considered a star , nor why he keeps being cast in action films when none of them are ever any good	0
111048	5885	the ending is all too predictable and far too cliched to really work	0
104168	5495	it was n't the subject matter that ultimately defeated the film ... It was the unfulfilling , incongruous , `` wait a second	0
9773	406	plays like a 95-minute commercial for NBA properties	0
135444	7315	repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue	0
110517	5856	is hollow , self-indulgent , and - worst of all - boring	0
127253	6843	find 80 minutes of these shenanigans exhausting	0
96791	5056	The story is lacking any real emotional impact , and the plot is both contrived and cliched .	0
74536	3821	sleep-inducing thriller	0
86872	4502	The dialogue is cumbersome , the simpering soundtrack and editing more so	0
77571	3990	Equilibrium the movie , as opposed to the manifesto , is really , really stupid .	0
43468	2101	this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .	0
64780	3280	his movie veers like a drunken driver through heavy traffic	0
117386	6263	remind us of how very bad a motion picture can truly be	0
35457	1668	ultimately you 'll leave the theater wondering why these people mattered	0
114979	6123	What an embarrassment .	0
107574	5685	be one of those movies barely registering a blip on the radar screen of 2002	0
101206	5319	sappy and amateurish	0
101706	5354	it 's offensive	0
117018	6243	no solace here , no entertainment value ,	0
149879	8161	It is very difficult to care about the character , and that is the central flaw of the film .	0
38308	1823	looks and feels tired	0
113362	6024	is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness .	0
60076	3031	she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine	0
119819	6409	getting in its own way to be anything but frustrating , boring , and forgettable	0
119681	6401	be distasteful to children and adults alike	0
151173	8242	Hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial .	0
137420	7434	to drown yourself in a lake afterwards	0
23815	1082	is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture	0
5829	233	its lackadaisical plotting and mindless action	0
41924	2017	you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already .	0
150147	8178	is he has no character , loveable or otherwise	0
22197	995	comes across as lame and sophomoric in this debut indie feature	0
92426	4813	there are n't many reasons anyone would want to see Crossroads if they 're not big fans of teen pop kitten Britney Spears	0
105314	5560	pretty stupid	0
34809	1638	A plodding teen remake that 's so mechanical you can smell the grease on the plot	0
67050	3403	a sour taste in one 's mouth ,	0
79624	4099	is meaningless , vapid and devoid of substance	0
82187	4241	it would be easy for critics to shred it	0
34969	1645	a dreary tract of virtually plotless meanderings	0
12648	543	done-to-death material	0
62993	3189	In addition to sporting one of the worst titles in recent cinematic history , Ballistic : Ecks Vs. Sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase .	0
83012	4285	as those monologues stretch on and on , you realize there 's no place for this story to go but down	0
56349	2825	living far too much in its own head	0
112408	5970	overlong , and bombastic	0
77572	3990	the movie , as opposed to the manifesto , is really , really stupid .	0
155775	8526	I 've got to give it thumbs down	0
33312	1561	is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .	0
153363	8377	My only wish is that Celebi could take me back to a time before I saw this movie and I could just skip it .	0
18986	833	been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again	0
18421	807	Execrable .	0
153809	8401	's just plain awful but still	0
129643	6973	A thoroughly awful movie --	0
114827	6112	Should have gone straight to video .	0
79933	4118	Unfortunately , One Hour Photo lives down to its title .	0
5619	223	a recycled and dumbed-down version of Love Story	0
89277	4640	a dreary , humorless soap opera	0
26021	1190	having to inhale this gutter romancer 's secondhand material	0
58243	2935	God help us , but Capra and Cooper are rolling over in their graves	0
33470	1569	a lower I.Q.	0
45745	2224	obscenely bad dark comedy	0
11438	491	shockingly bad and absolutely unnecessary	0
132709	7154	put through torture	0
40904	1960	the most pitiful directing	0
36286	1715	this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .	0
141737	7689	utterly pointless	0
121323	6497	there , done that ... a thousand times already , and better	0
5307	210	depraved	0
54720	2723	paid enough to sit through crap like this	0
83785	4331	fails on so many levels	0
101754	5357	is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer .	0
13768	593	Overly long	0
31557	1477	is in bad need of major acting lessons and maybe a little coffee	0
126018	6769	terribly monotonous	0
78491	4038	bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs	0
118563	6335	Bad movie .	0
128448	6910	will see nothing in it to match the ordeal of sitting through it .	0
107822	5702	Do n't expect any subtlety from this latest entry in the increasingly threadbare gross-out comedy cycle	0
137615	7445	for a film that has nothing	0
19084	837	the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle	0
97975	5132	of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape	0
81342	4192	because the plot is equally hackneyed	0
39434	1883	seems to have ransacked every old World War II movie for overly familiar material .	0
88608	4604	little action , almost no suspense or believable tension	0
13671	587	unlikable	0
59964	3025	is one baaaaaaaaad movie .	0
60788	3069	ultimately insignificant	0
131766	7103	's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy	0
98134	5141	stinks so badly of hard-sell image-mongering you	0
38311	1824	A long , dull procession of despair , set to cello music culled from a minimalist funeral .	0
142664	7743	putrid it is not worth the price of the match that should be used to burn every print of the film .	0
126699	6812	so devoid of artifice and purpose	0
94748	4944	Completely creatively stillborn and executed in a manner that I 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage .	0
40111	1922	Less about Shakespeare than the spawn of fools who saw Quentin Tarantino 's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations	0
58832	2965	deadly bore	0
96761	5054	What we get in FearDotCom is more like something from a bad Clive Barker movie .	0
19873	879	A fifty car pileup of cliches .	0
137468	7438	is n't very interesting	0
95228	4968	never rises above superficiality .	0
150593	8207	might as well be watching a rerun	0
48395	2363	drags , underscoring the obvious	0
71794	3663	is dark , brooding and slow , and takes its central idea way too seriously	0
153780	8400	cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release	0
60085	3031	work in something that does n't feel like a half-baked stand-up routine	0
45769	2225	it was , as my friend David Cross would call it , ` Hungry-Man portions of bad '	0
47719	2325	poorly paced you could fit all of Pootie Tang in between its punchlines	0
16869	730	burn the negative and the script and pretend the whole thing never existed	0
153775	8400	Nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release .	0
137236	7424	constantly unfulfilling	0
7089	285	just does n't cut it	0
60452	3052	plodding picture	0
92989	4844	most moronic	0
55612	2777	particularly joyless , and exceedingly dull , period	0
133904	7225	redundancy and unsuccessful	0
115437	6150	allows the film to drag on for nearly three hours	0
70241	3576	thoroughly unrewarding all of this	0
154887	8472	as tawdry trash	0
33032	1548	It 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .	0
65099	3293	a truly annoying pitch	0
40724	1951	just plain crap	0
8127	336	is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy	0
46039	2238	as a collection of keening and self-mutilating sideshow geeks	0
36368	1719	a complete waste of time	0
102390	5388	Feardotcom 's thrills are all cheap	0
132159	7124	flopped as surely	0
46860	2282	tiring	0
81681	4214	as the queasy-stomached critic who staggered from the theater and blacked out in the lobby	0
144894	7868	most ill-conceived	0
85031	4398	it slow , predictable and not very amusing	0
131420	7080	is so tame that even slightly wised-up kids would quickly change the channel	0
22285	1002	embody the worst excesses of nouvelle vague without any of its sense of fun or energy	0
60129	3033	to sit through than most of Jaglom 's self-conscious and gratingly irritating films	0
25264	1154	like a made-for-home-video quickie	0
77947	4011	yet story , character and comedy bits are too ragged to ever fit smoothly together	0
54429	2705	long and relentlessly saccharine film	0
104540	5518	Crummy .	0
9545	397	failed	0
10082	423	forces them into bizarre , implausible behavior	0
74110	3794	a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas	0
111677	5927	suffers from a philosophical emptiness and maddeningly sedate pacing .	0
45661	2219	this is the first film in a long time that made me want to bolt the theater in the first 10 minutes .	0
29032	1344	racism	0
73648	3766	is how so many talented people were convinced to waste their time	0
77753	3998	takes a really long , slow and dreary time	0
114656	6100	bad in a major movie	0
93346	4868	peppered with false starts and populated by characters who are nearly impossible to care about	0
100157	5255	truly awful	0
71810	3664	disgusted	0
116122	6188	dumb , credulous , unassuming , subordinate subjects	0
50377	2477	make you feel that you never want to see another car chase , explosion or gunfight again	0
113032	6002	is so clumsily sentimental and ineptly directed it may leave you speaking in tongues .	0
152166	8302	if you , like me , think an action film disguised as a war tribute is disgusting to begin with	0
48325	2358	he keeps being cast in action films when none of them are ever any good	0
1025	38	The movie 's progression into rambling incoherence	0
59524	3001	farcical and loathsome	0
94061	4908	is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor	0
152624	8329	finds no way to entertain or inspire its viewers	0
31365	1466	severe body odor	0
130918	7056	together with the contrivances and overwrought emotion of soap	0
141900	7698	Forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .	0
26348	1207	like lint in a fat man 's navel	0
140186	7607	uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels	0
84473	4369	shot on ugly digital video .	0
7029	281	ripoff	0
49646	2433	misfire that even Tunney ca n't save	0
82367	4254	the cinematography is cloudy , the picture making becalmed .	0
136373	7373	of absurd plot twists , idiotic court maneuvers and stupid characters	0
89546	4656	besotted and obvious drama	0
99548	5220	IS as bad as you think , and worse than you can imagine	0
137265	7426	An undistinguished attempt to make a classic theater piece cinematic .	0
57075	2875	Everything was as superficial as the forced New Jersey lowbrow accent Uma had .	0
102832	5420	This hastily mounted production exists only to capitalize on Hopkins ' inclination to play Hannibal Lecter again , even though Harris has no immediate inclination to provide a fourth book .	0
59511	3001	terrible adaptation	0
102584	5400	... a bland murder-on-campus yawner .	0
22271	1002	An incredibly irritating comedy about thoroughly vacuous people	0
